geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
4002600,Ardmore city,9781,6718,53900,63292,1.1445,25.6,5.7,1,0,-20,265,425
4964670,Roosevelt city,2327,1772,76456,91210,1.1445,16.5,7.3,0,0,92,85,72
37013,Beaufort County,19385,11565,58357,66672,1.1445,37.0,3.4,1,0,575,696,694
3929106,Gahanna city,14254,10264,109061,124709,1.1445,25.8,2.2,1,0,285,182,266
27023,Chippewa County,5126,3210,71458,80696,1.1445,31.9,5.5,1,0,221,214,114
4539895,Lancaster city,3646,2332,46311,53252,1.1444,33.3,2.7,0,0,-129,-77,72
1919405,Decorah city,3038,1915,64366,75184,1.1444,36.1,0.8,0,0,122,194,94
1745694,McHenry city,11897,8353,86315,99489,1.1444,28.7,1.1,1,0,-96,110,105
48481,Wharton County,15890,10553,66924,77939,1.1444,30.4,3.2,1,0,159,444,458
72103,Naguabo Municipio,8618,5364,23395,27355,1.1443,36.7,1.1,1,0,-22,104,133
18011,Boone County,28738,20825,111250,127593,1.1443,23.7,3.8,1,0,212,241,214
5129744,Fredericksburg city,11720,8274,86071,97559,1.1443,20.7,8.7,1,0,140,465,150
51630,Fredericksburg city,11720,8274,86071,97559,1.1443,20.7,8.7,1,0,140,465,150
4841980,League City city,42950,32681,121099,138758,1.1443,21.6,2.3,1,0,465,583,889
1216125,Dade City city,2887,1721,70107,76955,1.1443,37.3,3.0,1,0,5,52,29
1780047,Westchester village,6908,3876,98954,112881,1.1442,42.7,1.2,1,0,65,21,-5
1838358,Jeffersonville city,22196,15477,70930,81101,1.1442,26.8,3.5,1,0,757,1181,868
2674900,Southfield city,34860,22034,68166,78108,1.1442,34.5,2.3,1,0,-904,474,974
22097,St. Landry Parish,32183,22172,44462,50701,1.1441,28.7,2.4,1,0,43,455,1177
19183,Washington County,8972,5872,75647,87038,1.1441,30.7,3.9,1,0,364,337,272
39019,Carroll County,11206,7136,64835,74299,1.1441,32.5,3.8,1,0,294,293,252
38089,Stark County,13537,9644,84449,97013,1.1441,23.6,5.2,1,0,739,688,455
17197,Will County,244273,180093,109984,125580,1.144,24.6,1.7,1,0,97,359,210
48207,Haskell County,2123,1360,60653,69524,1.144,34.8,1.2,0,0,81,72,27
3659223,Port Chester village,11056,8014,92222,104673,1.144,25.6,1.9,1,0,-270,-289,327
4848096,Midlothian city,13024,10101,126641,144733,1.144,20.8,1.6,1,0,-21,169,-109
20029,Cloud County,3819,2387,58770,66475,1.144,30.8,6.7,1,0,140,172,94
1652660,Middleton city,3601,2339,89013,99412,1.144,31.1,3.9,0,0,-48,-65,-44
19013,Black Hawk County,54563,34387,66417,75880,1.144,27.4,9.5,1,0,1504,1596,541
2855760,Pearl city,11249,8189,61695,69579,1.144,23.4,3.8,1,0,-46,-86,92
17111,McHenry County,117594,83445,104802,120696,1.1439,27.0,2.1,1,0,908,644,635
2523875,Fitchburg city,16659,12279,73040,83111,1.1439,22.1,4.2,1,0,160,442,161
